YR,PRD,MONTH,DATE,SCENRO,MU,BU,SCTR,CNTRY,SUBBRAND,AMT
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1233,20969.01791438011
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1259,141.98713658746203
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_24,1058.3996111388983
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_837,30813.110677477758
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_956,2254.041830746796
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1233,26737.962565074355
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_1259,249.61078666882702
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_24,1403.0383295879622
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_837,45561.428782766125
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Albania,L3_956,3261.107549681937
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_101,798.8559593668327
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1233,37579.536888970295
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_2198,10566.793234380393
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_24,4211.027593640149
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_410,1943.100885504357
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_956,92.98852437074244
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_101,965.812628123393
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1233,43329.2920896353
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_1259,2425.7148492811
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_2198,12752.488499714695
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_24,5193.747226194586
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Armenia,L3_410,1819.9756257352785
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_1233,177862.71512401995
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_2198,2480.9479193817674
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_24,19855.050615344513
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_410,97108.35980923264
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_1233,189684.01513176897
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_2198,5096.92644748614
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_24,16890.724394694018
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Austria,L3_410,16774.32671377146
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1077,5001.789700182455
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1233,87570.94613993364
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1259,2837.3956707501784
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_2198,21980.118633496262
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_24,4893.393615070481
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_410,5748.070721414129
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_956,2407.614141194621
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_97,8975.66562911668
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1077,2314.146231499158
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1233,111500.21485984798
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_1259,10931.836593802174
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_2198,29376.68101413849
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_24,6034.532556550408
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_410,5334.582573105183
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Azerbaijan,L3_97,6118.222228484076
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_1233,97832.38114023657
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_2198,20792.973730741865
2017,2.0,1,2017-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_24,18542.228765859123
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_1233,160338.63320958344
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_1259,32858.763111734166
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_2198,29385.43038893155
2018,2.0,1,2018-01-01,Actual,BCCA FOBO,FOBO BU,Europe,Belarus,L3_24,25791.635259557745
2017,2.0,1,2017-01-01,Actual,Belgium,NE,Europe,Belgium,L3_1233,24361.34495220249
2017,2.0,1,2017-01-01,Actual,Belgium,NE,Europe,Belgium,L3_1259,21884.278599254685
2017,2.0,1,2017-01-01,Actual,Belgium,NE,Europe,Belgium,L3_24,305.4673025578889
2017,2.0,1,2017-01-01,Actual,Belgium,NE,Europe,Belgium,L3_956,1033699.8079646081
2018,2.0,1,2018-01-01,Actual,Belgium,NE,Europe,Belgium,L3_1233,27403.6124632801
2018,2.0,1,2018-01-01,Actual,Belgium,NE,Europe,Belgium,L3_1259,25553.78188555367
2018,2.0,1,2018-01-01,Actual,Belgium,NE,Europe,Belgium,L3_24,503.53285946757023
2018,2.0,1,2018-01-01,Actual,Belgium,NE,Europe,Belgium,L3_956,1302873.7231236761
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1233,283671.7011968751
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1259,26824.27282269484
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_2198,51707.0720590618
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_24,16705.642008270344
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_3190,4813.212823962861
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_410,23059.04066839024
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_956,1757.8001169401139
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1233,333227.63142730336
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_1259,25610.473008671885
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_2198,63987.90864582891
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_24,29031.01705494072
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_3190,7008.9867773136175
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_410,22315.665044063884
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Bulgaria,L3_956,7631.14710502772
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_1233,21276.056159535903
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_2198,1217.3043190351736
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_24,4364.120518763252
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_410,676.2801772417631
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_1233,69201.52444819764
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_1259,5976.541531351927
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_2198,11740.505660359415
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Croatia,L3_24,6406.697991588766
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1233,28670.926292505268
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1259,5881.298739723712
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_2198,177.52354652596284
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_24,42325.38938944581
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_26,14810.014582291324
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_410,2625.1928455192915
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4445,7430.23218952752
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4506,2885.153888963249
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_4507,9967.603713905308
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_738,2997.8601067078544
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_837,11508.09070606116
2017,2.0,1,2017-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_956,12421.555021732545
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1233,31705.959014603428
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_1259,7095.602065472374
2018,2.0,1,2018-01-01,Actual,CE FOBO,FOBO BU,Europe,Cyprus,L3_2198,211.337555388051
